equation,eGFR_cut,Creatinine_type,n,Median eGFR,RMSE,median,IQR,Dose P20
CKD-EPI,"(0,60]",IDMS,68,46.96,"9.87 (8.36, 11.49)","-3.64 (-6.51, -1.04)","14.26 (11.68, 18.33)","0.16 (0.08, 0.25)"
LM,"(0,60]",IDMS,91,49.59,"11.03 (8.81, 13.38)","-1.79 (-3.82, -0.36)","14.48 (11.67, 19.33)","0.13 (0.06, 0.2)"
CamGFR v2,"(0,60]",IDMS,91,49.14,"11.21 (8.83, 13.64)","-1.63 (-3.78, 1.06)","12.59 (8.93, 16.04)","0.16 (0.09, 0.24)"
FAS,"(0,60]",IDMS,95,48.54,"11.31 (9.18, 13.51)","-1.15 (-3.31, 1.45)","13.84 (10.5, 17.88)","0.18 (0.1, 0.26)"
MDRD,"(0,60]",IDMS,87,50.52,"11.54 (9.27, 13.96)","-3.44 (-6.12, -1.17)","14.69 (11.56, 18.73)","0.16 (0.09, 0.24)"
CamGFR v1,"(0,60]",IDMS,58,50.44,"12.26 (10.43, 14.12)","-7.17 (-9.96, -4.18)","13.81 (9.07, 19.08)","0.36 (0.24, 0.48)"
FAS,"(60,90]",IDMS,234,80.81,"14.17 (12.58, 15.77)","-2.73 (-4.42, -1.37)","14.69 (11.44, 17.12)","0.15 (0.1, 0.19)"
LM,"(60,90]",IDMS,308,81.63,"14.19 (12.98, 15.44)","-0.83 (-2.34, 0.7)","16.61 (13.83, 19.07)","0.12 (0.08, 0.15)"
CamGFR v2,"(60,90]",IDMS,389,80.2,"14.21 (13.05, 15.38)","2.59 (1.52, 3.92)","17.22 (15.19, 19.15)","0.11 (0.08, 0.14)"
CamGFR v1,"(60,90]",IDMS,293,84.12,"14.91 (13.51, 16.31)","-7.11 (-8.47, -5.63)","16.26 (14.12, 18.39)","0.18 (0.13, 0.22)"
MDRD,"(60,90]",IDMS,235,82.51,"16.64 (15.06, 18.25)","-4.42 (-6.51, -2.27)","20.81 (17.02, 24.21)","0.21 (0.16, 0.26)"
CKD-EPI,"(60,90]",IDMS,205,84.34,"16.73 (14.98, 18.54)","-9.35 (-11, -7.41)","17.21 (14.17, 20.36)","0.25 (0.19, 0.31)"
CamGFR v2,"(90,310]",IDMS,126,107.03,"18.39 (15.94, 20.97)","-1.49 (-5.34, 2.55)","21.1 (16.71, 25.93)","0.17 (0.1, 0.23)"
CamGFR v1,"(90,310]",IDMS,255,107.65,"19.13 (17.26, 21)","-8.72 (-11.08, -6.52)","20.38 (17.01, 23.62)","0.19 (0.14, 0.24)"
LM,"(90,310]",IDMS,207,107.15,"19.32 (17.23, 21.43)","-6.96 (-9.84, -3.84)","20.56 (17.22, 24.36)","0.19 (0.13, 0.24)"
CKD-EPI,"(90,310]",IDMS,333,110.02,"23.03 (21.22, 24.81)","-16.04 (-18.03, -14.03)","20.44 (17.5, 23.07)","0.32 (0.27, 0.37)"
FAS,"(90,310]",IDMS,277,118.08,"30.94 (27.77, 34.19)","-19.41 (-21.62, -17.44)","23.71 (19.39, 27.92)","0.4 (0.34, 0.45)"
MDRD,"(90,310]",IDMS,284,116.74,"34.13 (30.51, 37.9)","-20.3 (-22.38, -18.38)","28.73 (24.63, 34.22)","0.43 (0.38, 0.49)"
CamGFR v1,"(0,60]",Non_IDMS,174,49.87,"11.4 (9.55, 13.31)","-0.51 (-2.29, 1.37)","12.92 (9.39, 15.53)","0.14 (0.09, 0.2)"
CamGFR v2,"(0,60]",Non_IDMS,182,50.41,"11.41 (9.56, 13.39)","-0.37 (-2.31, 1.27)","12.63 (9.96, 15.23)","0.17 (0.12, 0.22)"
CKD-EPI,"(0,60]",Non_IDMS,220,50.04,"11.96 (10.02, 13.94)","2.18 (0.64, 3.62)","13.43 (10.64, 15.42)","0.13 (0.08, 0.17)"
MDRD,"(0,60]",Non_IDMS,205,51.53,"12.2 (10.27, 14.31)","0.42 (-1.35, 2.04)","13.71 (9.86, 16.34)","0.15 (0.1, 0.2)"
LM,"(0,60]",Non_IDMS,267,49.55,"13.4 (11.72, 15.12)","5.15 (3.64, 6.43)","14.67 (12.37, 16.84)","0.18 (0.14, 0.23)"
FAS,"(0,60]",Non_IDMS,283,49.2,"14.01 (12.65, 15.42)","5.45 (3.43, 7.33)","16.16 (14.17, 18.28)","0.22 (0.17, 0.27)"
CamGFR v2,"(60,90]",Non_IDMS,546,78.51,"15.01 (14.01, 16)","0.88 (-0.38, 2.19)","19.02 (16.56, 21.09)","0.14 (0.11, 0.17)"
CamGFR v1,"(60,90]",Non_IDMS,562,78.8,"15.16 (14.17, 16.17)","1.17 (-0.27, 2.62)","19.27 (17.23, 21.86)","0.14 (0.11, 0.17)"
CKD-EPI,"(60,90]",Non_IDMS,458,79.01,"15.48 (14.48, 16.54)","1.54 (-0.19, 3.25)","19.56 (17.14, 21.39)","0.14 (0.11, 0.17)"
MDRD,"(60,90]",Non_IDMS,478,78.22,"16.64 (15.5, 17.84)","3.54 (1.51, 5.78)","20.92 (18.83, 23.87)","0.15 (0.12, 0.18)"
FAS,"(60,90]",Non_IDMS,446,77.04,"17.57 (16.32, 18.86)","6.8 (4.92, 8.55)","20.63 (18, 23.17)","0.16 (0.13, 0.2)"
LM,"(60,90]",Non_IDMS,536,77.56,"19.64 (18.43, 20.9)","8.24 (6.49, 9.9)","22.41 (19.97, 25.16)","0.19 (0.16, 0.23)"
