equation,eGFR_cut,Creatinine_type,n,Median eGFR,RMSE,median,IQR,Dose P20
CamGFR v1,"(0,60]",IDMS,65,49.45,"12.56 (9.02, 16.51)","-5.53 (-7.95, -2.58)","11.42 (7.67, 14.3)","0.29 (0.18, 0.41)"
FAS,"(0,60]",IDMS,102,48.43,"14 (9.62, 18.82)","-0.15 (-3.21, 3.03)","11.86 (8.45, 14.83)","0.18 (0.1, 0.25)"
CKD-EPI,"(0,60]",IDMS,72,47.61,"14.06 (8.41, 20.6)","-1.22 (-4.37, 1.83)","13.55 (10.9, 17.66)","0.15 (0.07, 0.24)"
CamGFR v2,"(0,60]",IDMS,97,49.67,"14.13 (9.59, 19.21)","-1.45 (-3.66, 0.48)","11.68 (8.89, 14.46)","0.15 (0.08, 0.23)"
LM,"(0,60]",IDMS,100,50.36,"14.83 (10.72, 19.5)","0.06 (-2.48, 2.73)","14.28 (12.03, 18.01)","0.19 (0.11, 0.27)"
MDRD,"(0,60]",IDMS,88,48.58,"15 (10.25, 20.22)","-0.55 (-4.06, 3.04)","14.67 (11.72, 20.18)","0.18 (0.1, 0.26)"
LM,"(60,90]",IDMS,318,78.81,"12.8 (11.69, 13.89)","-1.73 (-3.3, 0.18)","17.11 (14.91, 19.74)","0.11 (0.08, 0.15)"
CamGFR v2,"(60,90]",IDMS,393,77.8,"13.08 (12.1, 14.06)","1.6 (-0.09, 3.3)","17.48 (15.62, 18.92)","0.11 (0.08, 0.14)"
FAS,"(60,90]",IDMS,233,77.43,"13.13 (11.92, 14.34)","-4.58 (-6.56, -2.22)","16.63 (13.92, 19.41)","0.15 (0.1, 0.2)"
MDRD,"(60,90]",IDMS,230,77.45,"14.12 (12.8, 15.45)","-4.32 (-7.02, -1.62)","18.03 (15.51, 21.17)","0.19 (0.14, 0.24)"
CamGFR v1,"(60,90]",IDMS,287,80.66,"14.95 (13.49, 16.46)","-9.32 (-12.18, -7.81)","16.49 (14.48, 19.48)","0.22 (0.17, 0.26)"
CKD-EPI,"(60,90]",IDMS,199,78.75,"16.63 (15.19, 18.07)","-9.92 (-12, -6.9)","16.49 (13.98, 18.71)","0.3 (0.24, 0.36)"
CamGFR v2,"(90,310]",IDMS,128,96.83,"15.47 (13.42, 17.64)","-0.14 (-4.27, 3.6)","19.65 (16.46, 22.54)","0.09 (0.04, 0.15)"
CamGFR v1,"(90,310]",IDMS,266,98.2,"17.1 (15.48, 18.78)","-7.14 (-9.51, -5.15)","19.33 (17.13, 21.42)","0.17 (0.12, 0.21)"
LM,"(90,310]",IDMS,200,98.16,"17.98 (15.83, 20.2)","-6.15 (-11, -2.46)","21.74 (18.22, 25.46)","0.18 (0.13, 0.23)"
CKD-EPI,"(90,310]",IDMS,347,101.49,"21.2 (19.4, 22.94)","-13.63 (-15.63, -11.85)","18.78 (16.42, 20.81)","0.29 (0.24, 0.34)"
FAS,"(90,310]",IDMS,283,105.66,"32.9 (28.21, 37.68)","-15.59 (-17.64, -12.89)","25.67 (21.36, 28.94)","0.37 (0.32, 0.43)"
MDRD,"(90,310]",IDMS,300,104.68,"37.19 (32.29, 42.25)","-18.88 (-21.97, -15.81)","29.61 (25.25, 34.37)","0.44 (0.38, 0.49)"
CamGFR v2,"(0,60]",Non_IDMS,181,52.22,"11.38 (10.01, 12.77)","-1.09 (-3.07, 0.51)","13.35 (11.23, 15.83)","0.19 (0.14, 0.25)"
CamGFR v1,"(0,60]",Non_IDMS,174,52.38,"11.57 (10.2, 12.97)","-1.18 (-2.88, 0.4)","13.76 (11.33, 16.5)","0.2 (0.14, 0.26)"
